CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX321556,06/27/2014 07:50:00 PM2014.06.27 at 19:50,051XX W CORNELIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1634,38,08B,1141470,1922824,41.9443,-87.755424
HX321567,06/27/2014 08:05:00 PM2014.06.27 at 20:05,013XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,2535,27,08B,1149507,1908817,41.905716,-87.72625
HX321598,06/27/2014 08:00:00 PM2014.06.27 at 20:00,045XX S CHRISTIANA AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,Y,Y,821,14,26,1154833,1874407,41.811184,-87.7076
HX321666,06/27/2014 08:50:00 PM2014.06.27 at 20:50,060XX S INDIANA AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,Y,311,20,08A,1178588,1865207,41.78543,-87.62075
HX321676,06/27/2014 09:10:00 PM2014.06.27 at 21:10,055XX S SHIELDS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,711,3,08B,1174958,1868001,41.79318,-87.63398
HX321677,06/27/2014 09:10:00 PM2014.06.27 at 21:10,013XX S WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1023,28,08B,1158534,1893865,41.864506,-87.6935
HX321678,06/27/2014 08:45:00 PM2014.06.27 at 20:45,035XX W 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,823,15,08B,1154109,1861911,41.77691,-87.710594
HX321680,06/27/2014 08:50:00 PM2014.06.27 at 20:50,005XX N MONTICELLO AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,N,Y,1122,27,20,1151926,1903121,41.890038,-87.717514
HX321682,06/27/2014 09:00:00 PM2014.06.27 at 21:00,053XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2532,37,08B,1140635,1910082,41.909355,-87.758804
HX321691,06/27/2014 09:25:00 PM2014.06.27 at 21:25,017XX E 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,324,5,08B,1189184,1857626,41.76438,-87.582146
HX321701,06/27/2014 09:00:00 PM2014.06.27 at 21:00,049XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1533,24,08B,1143631,1895883,41.870335,-87.74816
HX321707,06/27/2014 09:20:00 PM2014.06.27 at 21:20,002XX N PINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1523,28,08B,1139417,1901207,41.88502,-87.7635
HX321714,06/27/2014 10:15:00 PM2014.06.27 at 22:15,058XX N MEDINA AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,Y,1622,45,06,1134465,1938647,41.98785,-87.7808
HX321720,06/27/2014 09:00:00 PM2014.06.27 at 21:00,085XX S SAGINAW AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,N,Y,423,7,04A,1195355,1848659,41.739624,-87.55982
HX321729,06/27/2014 10:04:00 PM2014.06.27 at 22:04,001XX N KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1114,28,08B,1148331,1900447,41.88277,-87.73078
HX321730,06/27/2014 09:30:00 PM2014.06.27 at 21:30,041XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,921,12,08B,1160418,1877198,41.81873,-87.68704
HX321734,06/27/2014 09:34:00 PM2014.06.27 at 21:34,076XX S SANGAMON ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,N,Y,621,17,26,1171334,1854375,41.755867,-87.64767
HX321752,06/27/2014 10:07:00 PM2014.06.27 at 22:07,054XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1522,29,08B,1139986,1898171,41.87668,-87.76148
HX321758,06/27/2014 09:55:00 PM2014.06.27 at 21:55,006XX W 119TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,N,Y,524,34,08B,1174220,1825930,41.67775,-87.63793
HX321762,06/27/2014 10:00:00 PM2014.06.27 at 22:00,048XX W ROSCOE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1634,38,08B,1143530,1922128,41.942356,-87.74787
HX321765,06/27/2014 10:30:00 PM2014.06.27 at 22:30,063XX S MAPLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,825,15,08B,1160428,1862348,41.77798,-87.687416
HX321780,06/27/2014 10:35:00 PM2014.06.27 at 22:35,076XX S ST LAWRENCE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,Y,624,6,08A,1181519,1854426,41.75578,-87.610344
HX321806,06/27/2014 10:15:00 PM2014.06.27 at 22:15,009XX N FRANCISCO AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,Y,1211,26,04B,1156841,1906120,41.898167,-87.69938
HX321821,06/27/2014 11:08:00 PM2014.06.27 at 23:08,012XX W 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,613,21,08B,1169733,1849790,41.74332,-87.65366
HX321823,06/27/2014 11:15:00 PM2014.06.27 at 23:15,074XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,323,6,08B,0,0,0.0,0.0
HX321834,06/27/2014 10:40:00 PM2014.06.27 at 22:40,004XX W 44TH PL,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,925,11,08A,1173950,1875469,41.813694,-87.63745
